,n_components,n_clusters,c_npmi_mean,u_mass_mean,dist_mean,score_mean,bucket_A_rate,bucket_B_rate,bucket_C_rate
54,90,90,0.10330680935008095,-1.784684927180884,0.22983299386170175,-0.06311495534893868,0.26666666666666666,0.4222222222222222,0.3111111111111111
48,90,30,0.1180756272710059,-1.6614312353471046,0.2760471299290657,-0.13994523733118788,0.26666666666666666,0.43333333333333335,0.3
40,80,30,0.09475650046170941,-1.7188205777478693,0.2601802845795949,-0.3155126177321948,0.26666666666666666,0.3333333333333333,0.4
87,130,100,0.10262578350045348,-1.8818168098951178,0.2657083684206009,-0.5030970610139527,0.26,0.29,0.45
69,110,80,0.0924383337685238,-1.8502649368561481,0.2588034284301102,-0.5038371049439115,0.25,0.3375,0.4125
51,90,60,0.08873541000561126,-1.9106406846235031,0.25155168945590656,-0.5607861260139531,0.25,0.4166666666666667,0.3333333333333333
65,110,40,0.0953884343324593,-1.772435158621986,0.28748379573225974,-0.611591322257618,0.25,0.275,0.475
60,100,70,0.09642443608816403,-1.92338427438883,0.25467764735221865,-0.5277463016242441,0.24285714285714285,0.4,0.35714285714285715
63,100,100,0.09268171410767562,-1.829638776583661,0.24137298949062824,-0.3266829635451509,0.24,0.42,0.34
66,110,50,0.10138491690593249,-1.7570789677457548,0.2738843289017677,-0.4165589595337632,0.24,0.36,0.4
85,130,80,0.09512552547597618,-1.884436850829482,0.2805948494002223,-0.7068158664570101,0.2375,0.275,0.4875
72,120,30,0.09230546411215988,-1.6638827561631155,0.29576882471640903,-0.5660886306393242,0.23333333333333334,0.3333333333333333,0.43333333333333335
59,100,60,0.10099954061769623,-1.9778465615630914,0.2656066283583641,-0.6476355793440629,0.23333333333333334,0.3333333333333333,0.43333333333333335
71,110,100,0.09815030043733339,-1.8523322152312667,0.2510842126607895,-0.38466436107715796,0.23,0.42,0.35
76,120,70,0.10084684689025848,-1.9241715332563842,0.2756614455154964,-0.6617219179203331,0.22857142857142856,0.32857142857142857,0.44285714285714284
70,110,90,0.08907143493837487,-1.8525330869371504,0.2539754389060868,-0.4996956510901188,0.2222222222222222,0.37777777777777777,0.4
68,110,70,0.09576639305950864,-1.8022141128572322,0.268971773982048,-0.4917967079380851,0.21428571428571427,0.4142857142857143,0.37142857142857144
64,110,30,0.11185643820920863,-1.7470135402110825,0.2941152219971021,-0.4693639934693887,0.2,0.4,0.4
73,120,40,0.09812372616454938,-1.7229948021922035,0.29311041384935377,-0.5652851155806523,0.2,0.325,0.475
86,130,90,0.09402079851258015,-1.8876314352428356,0.2716708814104398,-0.6468621161484212,0.2,0.3,0.5
75,120,60,0.09581416319262309,-1.8904324654762605,0.2939698648949464,-0.8208097940664473,0.2,0.3333333333333333,0.4666666666666667
82,130,50,0.08816909874598969,-1.9490407063136828,0.2958849054574966,-0.9919223678574326,0.2,0.3,0.5
78,120,90,0.08995504045751646,-1.9187164955733518,0.2713571137852139,-0.7265160797848549,0.18888888888888888,0.3888888888888889,0.4222222222222222
91,140,60,0.0971509148393738,-1.7470864950991016,0.2972666581471761,-0.6424314536295916,0.18333333333333332,0.23333333333333334,0.5833333333333334
58,100,50,0.08848941826227347,-1.88673983792319,0.26666242986917493,-0.6584952373771997,0.18,0.44,0.38
102,150,90,0.0885715415154407,-2.056841627356627,0.2916461620065901,-1.0972185106313286,0.17777777777777778,0.2777777777777778,0.5444444444444444
49,90,40,0.10349180241191695,-1.7020523609134404,0.2684885669499636,-0.27604817702058043,0.175,0.5,0.325
77,120,80,0.09013180894097708,-1.9218939591840816,0.2748149486258626,-0.758189128612851,0.175,0.3625,0.4625
92,140,70,0.09626887036627094,-1.8697662406525892,0.29147046697991236,-0.7674012334054804,0.17142857142857143,0.3,0.5285714285714286
79,120,100,0.08864509294451167,-2.04479319007725,0.2641934987902641,-0.848785695478478,0.17,0.38,0.45
80,130,30,0.09851096412484574,-1.771950187580918,0.301650840540727,-0.6993146251064183,0.16666666666666666,0.4,0.43333333333333335
99,150,60,0.09268718856135323,-1.8327705251647715,0.3036095015704632,-0.8556402052247628,0.16666666666666666,0.25,0.5833333333333334
95,140,100,0.08916531124620578,-1.9413874119287342,0.2769102431833744,-0.8117071507704307,0.16,0.34,0.5
94,140,90,0.09136484374987928,-1.9839617655977284,0.28242019679811264,-0.8935555158619888,0.15555555555555556,0.3333333333333333,0.5111111111111111
93,140,80,0.08775150610381591,-1.9276867851870256,0.28665280286222694,-0.8895000760985932,0.15,0.275,0.575
84,130,70,0.09353622615322178,-1.9158068964952073,0.2842648193240166,-0.7957919454698247,0.14285714285714285,0.3,0.5571428571428572
74,120,50,0.09462232169029182,-1.8723354871619278,0.2892925378680229,-0.7688847425351577,0.14,0.42,0.44
103,150,100,0.09514618138439347,-1.9036411848760193,0.28556249901652336,-0.7743382493544079,0.14,0.31,0.55
101,150,80,0.09012807696730676,-1.9834606750778305,0.3029836151748896,-1.0785907430189268,0.1375,0.2625,0.6
96,150,30,0.09314795763576544,-1.845615778420258,0.3245974346995354,-1.0453132432267132,0.13333333333333333,0.2,0.6666666666666666
81,130,40,0.09760220135873438,-1.731377632246118,0.30437845550477505,-0.6767716681377728,0.125,0.4,0.475
90,140,50,0.08744760618324596,-2.1317615774763583,0.31174680054187776,-1.3787063520566034,0.12,0.24,0.64
83,130,60,0.09645565206638188,-1.89945903251071,0.28843233436346055,-0.779874621236772,0.11666666666666667,0.43333333333333335,0.45
100,150,70,0.09844632753755428,-2.0297602111576913,0.30518530756235124,-1.0766423604201452,0.11428571428571428,0.34285714285714286,0.5428571428571428
56,100,30,0.09458398377611923,-1.7369125031953396,0.28556014945109687,-0.5555835980225734,0.1,0.43333333333333335,0.4666666666666667
97,150,40,0.09529636478642885,-1.8212663938897387,0.3220128286629915,-0.9693695274025101,0.1,0.325,0.575
89,140,40,0.09658880161661271,-1.956066759362257,0.32278692089021205,-1.1444029367269553,0.1,0.3,0.6
88,140,30,0.1033942236112468,-1.7127812425014524,0.32349769622087476,-0.755309601323189,0.06666666666666667,0.3333333333333333,0.6
98,150,50,0.09076664980546902,-2.0767982864350114,0.3161434179544449,-1.3087860174562362,0.06,0.3,0.64
